,set_id,DOH,EBat,Propulsor,TOM,Mf,eff
0,48.0,0.8750001666292059,300.0000000000028,0.0,875.0001666292059,0.0,20.000006665168094
1,49.0,0.8750012210685577,300.0007161005557,1.0,1175.0019371691133,320.0004168173675,20.000013037714524
2,49.0,0.8750012211333414,300.00000001738397,1.0,1175.0012211507255,320.0004884515982,20.00004884446446
3,49.0,0.8750012211335527,300.00007354211084,1.0,1175.0012946756635,320.00048109921,20.000045168236564
4,49.0,0.8750012213956688,300.0001530354183,1.0,1175.0013744310872,320.0004732547257,20.00004120405584
5,49.0,0.8750012217382956,300.0009659559507,1.0,1175.0021876942462,320.0003920997232,20.00000057173429
6,49.0,0.8750012213922003,300.00002118553147,1.0,1175.0012425777318,320.00048643832696,20.000047796411433
7,49.0,0.8750012217651105,300.00053590320164,1.0,1175.0017576683122,320.00043511572403,20.000022075444342
8,49.0,0.8750012213956688,300.00039082912394,1.0,1175.0016122247928,320.00044947535514,20.000029314370558
9,49.0,0.8750012218891469,300.00030777968817,1.0,1175.001529668835,320.00045797768996,20.000033486581465
10,49.0,0.8750012211379813,300.00018397947173,1.0,1175.001405117453,320.00047005724537,20.000039646545666
11,49.0,0.8750012211408741,300.0001087015339,1.0,1175.001329842408,320.0004775861962,20.00004341055827
12,49.0,0.875001221344576,300.0000456628959,1.0,1175.001267007472,320.0004839715408,20.000046570638247
13,49.0,0.8750012211331283,300.0002467925276,1.0,1175.001467925656,320.00046377399855,20.000036505698752
14,50.0,0.8750010024028771,300.0000000000001,2.0,1475.0010024028775,640.0008019223017,20.00004009611508
15,50.0,0.8750010026834965,300.0004306411914,2.0,1475.0018639658792,640.0007160185588,20.000018575280286
16,50.0,0.8750010025299871,300.00075761525443,2.0,1475.002517760496,640.0006505009388,20.000002220436766
17,50.0,0.875001002380513,300.0002866633906,2.0,1475.0015757072943,640.0007445717323,20.00002576205099
18,50.0,0.875001002455485,300.00001846692265,2.0,1475.0010393893303,640.0007982710034,20.000039174873265
19,50.0,0.8750010024932182,300.00005224591786,2.0,1475.0011069850539,640.0007915453909,20.000037487432834
20,50.0,0.8750010024451338,300.00003602870856,2.0,1475.0010745025509,640.0007947503653,20.000038296369922
21,50.0,0.8750010025263056,300.000185078129,2.0,1475.0013726825637,640.0007650054187,20.00003084714578
22,50.0,0.875001002405892,300.0001465276359,2.0,1475.0012954611639,640.0007726191864,20.000032769853885
23,50.0,0.8750010025370821,300.00010044208875,2.0,1475.0012034212596,640.000781941248,20.000035079378847
24,50.0,0.875001002436211,300.00023401722734,2.0,1475.0014704706657,640.0007551455234,20.000028396587073
25,50.0,0.8750010025400288,300.00000985106664,2.0,1475.001022242162,640.0008000618096,20.000039609047818
26,50.0,0.8750010024328785,300.00007600603607,2.0,1475.0011544449508,640.0007867450955,20.00003629701333
27,51.0,0.8750050128153997,300.00166839404045,3.0,1775.0100179975211,960.0055148602676,20.000117092913968
28,51.0,0.8750050126825074,300.00233592549625,3.0,1775.0120204589962,960.00531444136,20.000083711025486
29,51.0,0.8750050125992717,300.0020029202783,3.0,1775.0110213601065,960.0054142430424,20.000100357956953
30,51.0,0.8750050127308878,300.00033329243723,3.0,1775.0060126081994,960.0059152893343,20.00018384461365
31,51.0,0.8750050125956103,300.00367201445584,3.0,1775.0160286389778,960.0049135103956,20.000016903101617
32,51.0,0.8750050126398502,300.0013332506555,3.0,1775.0090123918167,960.0056151926236,20.000133843061235
33,51.0,0.8750050127258938,300.0030066635519,3.0,1775.0140327165495,960.0051132720068,20.000050175858156
34,51.0,0.8750050126476088,300.0026700159163,3.0,1775.0130226953577,960.0052141723556,20.000067005108537
35,51.0,0.8750050128069001,300.0,3.0,1775.0050128069001,960.0060153682803,20.000200512276002
36,51.0,0.8750050126398502,300.0006675105608,3.0,1775.0070151715327,960.005814914652,20.000167130065968
37,51.0,0.8750050126606319,300.0033376629141,3.0,1775.0150256493741,960.0050138938841,20.00003362327957
38,51.0,0.8750050125696603,300.00400989171834,3.0,1775.0170422448155,960.0048121160769,20.000000008200495
39,51.0,0.8750050125949973,300.001005500587,3.0,1775.0080290967583,960.0057134638207,20.000150228770536
40,52.0,0.9375022441941764,350.0000000000015,0.0,937.5022441941763,0.0,20.000089767766983
41,53.0,0.9375055884756075,350.0016221200396,1.0,1287.5072105956472,340.0020731782391,20.000142433022315
42,53.0,0.9375055884196442,350.00000000115546,1.0,1287.5055884207995,340.0022353677421,20.000223536727994
43,53.0,0.9375055884804712,350.00076122216205,1.0,1287.506349702633,340.00215926997225,20.00018547811074
44,53.0,0.9375055889489653,350.0029291547492,1.0,1287.5085181037146,340.0019426641112,20.00007710022115
45,53.0,0.9375055884601227,350.00032645563425,1.0,1287.5059149157569,340.00220273848566,20.000207215623195
46,53.0,0.9375055887520364,350.0004433145038,1.0,1287.5060320665402,340.00219116936415,20.000201384356266
47,53.0,0.9375055889407041,350.00006642625334,1.0,1287.5056553669574,340.0022289336563,20.0002202363155
48,53.0,0.9375055884621009,350.002140732352,1.0,1287.5077291944528,340.0020213116051,20.000116501866433
49,53.0,0.9375055889659114,350.0010158781649,1.0,1287.5066048440763,340.00213399854806,20.000172764728212
50,53.0,0.9375055885392278,350.00023110318875,1.0,1287.5058196424166,340.00221230537227,20.000211986409674
51,53.0,0.9375055884613839,350.0012501726165,1.0,1287.5068386340004,340.0021103672919,20.000161029824532
52,53.0,0.9375055884053092,350.00013531965976,1.0,1287.505723724969,340.0022218301577,20.00021677022938
53,53.0,0.9375055887154853,350.0005843005562,1.0,1287.5061730160414,340.0021770561385,20.000194333591597
54,54.0,0.9375122240913422,350.0016296784714,2.0,1637.515483448285,680.0094533373795,20.000407479730118
55,54.0,0.9375122240718099,350.00081577763,2.0,1637.51385562707,680.0096161019219,20.000448173990893
56,54.0,0.9375122239492466,350.0032610279804,2.0,1637.5187460052075,680.0091269538012,20.000325906570843
57,54.0,0.9375122239450858,350.0065194533563,2.0,1637.5252628517983,680.0084752653975,20.000162985135617
58,54.0,0.9375122239349442,350.00814836761595,2.0,1637.528520670176,680.0081494744321,20.000081539016964
59,54.0,0.9375122240904809,350.00977778558683,2.0,1637.5317796616546,680.0078237152673,20.00000007433989
60,54.0,0.9375122239834691,350.00407445256116,2.0,1637.5203728885913,680.008964296263,20.00028523671071
61,54.0,0.9375122240301124,350.00244273267896,2.0,1637.5171094954703,680.0092906775542,20.00036682457055
62,54.0,0.9375122240303876,350.0057045555799,2.0,1637.5236331415474,680.0086383131941,20.000203733436507
63,54.0,0.9375122241107896,350.00896207477933,2.0,1637.5301482603481,680.0079868736758,20.000040860692614
64,54.0,0.9375122239454107,350.0073318731435,2.0,1637.5268876916978,680.0083127816999,20.000122364159253
65,54.0,0.9375122240996117,350.00488953038786,2.0,1637.5220031603874,680.0088013736118,20.00024448746507
66,54.0,0.9375122239422841,350.00000000000153,2.0,1637.5122239422872,680.0097791538269,20.00048895769128
67,55.0,0.9375108263950631,350.00144380641126,3.0,1987.5151578142968,1020.0125585321523,20.000360865481962
68,55.0,0.9375108262561712,350.00360703706656,3.0,1987.5216473673709,1020.0119093962855,20.00025269839352
69,55.0,0.9375108264930487,350.0021636632126,3.0,1987.5173174826864,1020.0123426926948,20.00032487656132
70,55.0,0.9375108263060823,350.00072163273893,3.0,1987.512991204299,1020.012775077477,20.00039697060635
71,55.0,0.9375108264234727,350.00865768441156,3.0,1987.5367994767075,1020.0103944028438,20.00000017271833
72,55.0,0.9375108263024967,350.00721499150177,3.0,1987.532471277002,1020.0108270655455,20.000072302524774
73,55.0,0.937510826327037,350.0079347472031,3.0,1987.5346305686462,1020.0106111682835,20.000036315721324
74,55.0,0.9375108264694887,350.0064929963879,3.0,1987.5303054586525,1020.0110438644701,20.000108408960152
75,55.0,0.9375108263732117,350.00288528183654,3.0,1987.5194822187214,1020.0121260633032,20.00028879083664
76,55.0,0.9375108262164962,350.00577085143965,3.0,1987.528138770815,1020.0112602043635,20.00014450608786
77,55.0,0.9375108262588655,350.00000000000034,3.0,1987.5108262588665,1020.0129915106385,20.000433050354605
78,55.0,0.9375108262679419,350.0043396834784,3.0,1987.523845318377,1020.0116896164866,20.000216066543754
79,55.0,0.937510826327037,350.005051493468,3.0,1987.5259808074409,1020.011476144404,20.00018047840808
80,56.0,1.0,400.0,0.0,1000.0,0.0,20.0
81,57.0,1.0,400.0,1.0,1400.0,360.0,20.0
82,58.0,1.0,400.0,2.0,1800.0,720.0,20.0
83,59.0,1.0,400.0,3.0,2200.0,1080.0,20.0
